user_id,age,gender,device_model,operating_system,youtube_mins_daily,social_media_mins_daily,gaming_mins_daily,productivity_mins_daily,streaming_mins_daily,total_app_usage_mins,screen_on_hours,battery_drain_mah,data_usage_mb,num_apps_installed,peak_usage_hour,night_usage_pct,app_switches_per_hour,avg_session_duration_mins,num_sessions_daily,user_profile,age_group
1,41,Male,iPhone SE,iOS,56.8,268.4,11.2,27.5,0.0,364.0,6.71,1173,1600,69,18,0.104,6.3,9.6,38,social_butterfly,36-45
2,56,Male,Xiaomi 13,Android,31.7,0.0,197.6,12.5,45.1,286.8,5.9,1099,1533,86,23,0.353,2.3,86.9,3,gamer,45+
3,62,Male,Motorola Edge 40,Android,68.1,25.5,69.7,78.1,43.4,284.8,5.43,1202,1889,68,11,0.162,14.6,36.8,7,mixed_user,45+
4,60,Male,Realme 11 Pro,Android,17.7,41.7,298.1,17.6,99.3,474.4,8.99,1626,2492,78,20,0.306,5.9,76.3,6,gamer,45+
5,36,Male,Samsung Galaxy S22,Android,218.2,32.8,39.5,39.6,98.5,428.5,8.56,1471,4442,62,16,0.225,9.1,18.2,23,content_consumer,36-45
6,47,Male,Xiaomi 13,Android,54.5,45.0,207.0,30.0,60.1,396.6,7.6,1382,2217,81,20,0.392,4.0,84.5,4,gamer,45+
7,57,Female,iPhone 13,iOS,59.9,168.8,20.6,47.9,24.7,322.0,6.32,1111,1847,67,19,0.137,6.9,14.7,21,social_butterfly,45+
8,25,Female,Xiaomi Redmi Note 12,Android,161.0,60.2,25.3,0.0,73.2,319.7,5.95,1074,3385,51,19,0.149,7.1,18.5,17,content_consumer,18-25
9,61,Female,Xiaomi Redmi Note 12,Android,107.4,40.2,38.3,0.0,103.5,289.5,5.77,1142,3144,56,13,0.148,9.4,29.0,9,content_consumer,45+
10,60,Female,Xiaomi 13,Android,83.5,28.5,109.3,22.9,62.9,307.1,5.94,1161,2337,69,23,0.253,4.8,53.2,5,gamer,45+
11,13,Female,OnePlus 11,Android,52.9,128.3,163.2,78.9,36.2,459.5,9.14,1613,2007,76,11,0.206,10.0,31.0,14,mixed_user,<18
12,32,Female,iPhone 14,iOS,51.7,96.6,102.6,72.9,80.4,404.3,7.25,1356,2475,57,21,0.288,15.0,15.3,26,mixed_user,26-35
13,26,Male,Google Pixel 8,Android,226.2,98.1,38.5,34.1,55.3,452.1,8.4,1519,4101,47,14,0.15,8.5,27.3,16,content_consumer,26-35
14,17,Male,Xiaomi Redmi Note 12,Android,83.7,142.5,309.2,14.9,55.7,605.9,10.88,1843,3088,78,21,0.324,5.9,81.2,7,gamer,<18
15,33,Male,iPhone 15,iOS,42.2,112.5,4.9,0.0,11.3,171.0,3.6,838,1127,48,13,0.275,7.1,17.1,9,social_butterfly,26-35
16,37,Female,Samsung Galaxy A54,Android,118.6,33.6,77.3,59.2,34.4,323.1,5.94,1181,2279,71,10,0.168,11.3,26.3,12,mixed_user,36-45
17,34,Male,Xiaomi Redmi Note 12,Android,0.0,221.3,16.9,45.5,38.8,322.5,6.72,1299,1430,55,19,0.182,7.3,16.9,19,social_butterfly,26-35
18,40,Female,Samsung Galaxy A54,Android,58.0,163.4,16.3,27.3,20.2,285.1,5.94,1077,1691,71,12,0.135,9.6,9.2,30,social_butterfly,36-45
19,51,Female,OnePlus 11,Android,89.6,41.2,44.1,44.2,34.6,253.7,4.82,938,1947,78,21,0.271,12.5,11.4,22,mixed_user,45+
20,48,Male,iPhone 14,iOS,42.5,87.8,6.8,105.7,55.3,298.2,6.13,1121,1861,67,11,0.223,12.0,21.6,13,mixed_user,45+
21,45,Female,Xiaomi 13,Android,38.9,57.7,15.0,233.0,15.0,359.7,6.71,1120,1109,52,16,0.052,10.9,10.7,33,productivity_focused,36-45
22,53,Male,iPhone 15,iOS,27.7,26.9,74.5,80.7,52.6,262.5,5.42,980,1498,74,12,0.25,13.4,20.2,12,mixed_user,45+
23,49,Male,Realme 11 Pro,Android,77.0,73.5,26.6,18.0,45.2,240.4,4.9,828,1983,58,20,0.279,14.7,38.5,6,mixed_user,45+
24,59,Male,Samsung Galaxy S22,Android,110.3,31.5,128.6,0.6,58.1,329.1,6.93,1187,2663,63,23,0.408,5.6,51.1,6,gamer,45+
25,24,Female,Xiaomi 13,Android,241.0,81.2,32.3,37.8,69.8,462.1,9.09,1467,4371,47,9,0.116,10.7,38.4,12,content_consumer,18-25
26,16,Male,Samsung Galaxy A54,Android,29.3,90.0,162.7,116.7,28.6,427.3,7.87,1439,1595,67,10,0.122,13.4,34.7,12,mixed_user,<18
27,15,Female,Realme 11 Pro,Android,36.2,55.9,22.0,159.9,28.4,302.4,5.61,1164,1269,46,11,0.12,9.4,27.5,10,productivity_focused,<18
28,23,Male,OnePlus 11,Android,91.6,197.1,41.2,35.6,37.0,402.6,7.67,1502,2500,75,17,0.146,11.8,19.3,20,mixed_user,18-25
29,40,Male,iPhone 15,iOS,65.7,97.7,87.3,70.3,18.0,339.1,6.56,1225,1669,50,13,0.262,14.8,35.3,9,mixed_user,36-45
30,46,Male,iPhone 14,iOS,53.6,57.9,30.1,122.4,61.8,325.8,6.84,1088,1982,58,14,0.254,8.9,38.6,8,mixed_user,45+
31,13,Female,iPhone 14,iOS,18.2,93.5,342.2,7.5,96.5,558.0,10.32,1832,2773,79,23,0.413,3.9,55.2,10,gamer,<18
32,26,Female,Xiaomi Redmi Note 12,Android,32.3,26.3,6.6,93.5,46.7,205.3,4.36,832,1369,44,10,0.085,11.0,38.5,5,productivity_focused,26-35
33,29,Male,Google Pixel 8,Android,163.1,10.1,29.9,26.0,134.9,364.0,6.81,1302,4161,55,10,0.207,7.4,36.9,9,content_consumer,26-35
34,41,Female,Realme 11 Pro,Android,16.8,5.9,275.3,10.0,81.4,389.2,7.33,1234,2099,61,21,0.268,4.0,71.4,5,gamer,36-45
35,59,Female,Samsung Galaxy A54,Android,161.8,29.0,10.7,28.7,68.1,298.2,5.95,956,3173,65,17,0.252,10.0,36.9,8,content_consumer,45+
36,59,Male,Samsung Galaxy S22,Android,16.2,21.7,212.2,6.3,43.2,299.6,6.23,1047,1403,71,23,0.254,5.6,65.6,4,gamer,45+
37,15,Female,Samsung Galaxy A54,Android,105.9,29.3,18.2,262.3,47.2,462.9,8.59,1464,2432,56,15,0.086,9.2,17.1,27,productivity_focused,<18
38,18,Male,Xiaomi Redmi Note 12,Android,388.9,124.4,37.9,22.6,126.3,700.1,13.09,2150,7211,77,22,0.263,8.9,27.1,25,content_consumer,<18
39,56,Male,Google Pixel 8,Android,42.7,111.5,36.9,35.3,34.7,261.1,5.36,1017,1590,49,19,0.164,6.4,15.3,17,social_butterfly,45+
40,49,Male,iPhone 14,iOS,131.8,40.5,6.7,39.3,108.6,326.9,6.05,1298,3442,50,12,0.266,5.5,32.2,10,content_consumer,45+
41,41,Male,Samsung Galaxy A54,Android,42.2,54.7,217.7,11.8,66.3,392.7,7.57,1317,2263,89,23,0.313,5.6,67.4,5,gamer,36-45
42,27,Female,iPhone 13,iOS,91.0,9.7,127.1,7.5,51.6,287.0,5.51,1125,2229,57,22,0.273,5.5,59.7,4,gamer,26-35
43,39,Female,Motorola Edge 40,Android,20.8,18.0,18.3,137.2,26.1,220.4,4.94,789,909,42,11,0.125,10.6,14.5,15,productivity_focused,36-45
44,24,Female,iPhone 14,iOS,43.0,261.8,29.9,64.1,52.9,451.7,8.63,1449,2306,45,19,0.136,11.6,7.3,61,social_butterfly,18-25
45,30,Female,Xiaomi Redmi Note 12,Android,63.3,58.1,273.7,17.2,26.3,438.6,8.39,1574,2001,90,21,0.264,2.5,89.1,4,gamer,26-35
46,35,Female,iPhone 14,iOS,86.5,77.0,98.3,5.8,100.9,368.4,6.69,1240,3112,74,16,0.141,14.4,20.4,18,mixed_user,26-35
47,46,Female,Google Pixel 8,Android,23.7,142.9,15.5,36.3,10.1,228.5,4.34,775,1064,65,12,0.172,6.2,19.4,11,social_butterfly,45+
48,34,Male,Samsung Galaxy S23,Android,196.6,60.0,33.2,9.8,96.0,395.6,7.84,1330,4185,68,18,0.26,5.5,33.3,11,content_consumer,26-35
49,14,Female,Samsung Galaxy S23,Android,56.0,0.0,279.6,17.4,33.0,385.9,7.69,1458,1910,72,21,0.304,5.5,54.5,7,gamer,<18
50,15,Male,iPhone SE,iOS,69.4,55.2,300.1,20.0,18.4,463.1,8.46,1606,1993,95,21,0.411,4.7,42.3,10,gamer,<18
51,60,Male,Samsung Galaxy S22,Android,55.4,166.9,21.0,47.4,53.2,343.9,6.86,1308,2130,51,18,0.152,10.4,10.4,32,social_butterfly,45+
52,47,Female,Samsung Galaxy S23,Android,55.4,39.1,51.8,63.7,88.1,298.1,6.36,1167,2394,53,23,0.136,10.8,16.5,18,mixed_user,45+
53,58,Female,Realme 11 Pro,Android,3.0,25.9,0.0,207.6,55.1,291.5,6.19,1148,1130,35,15,0.051,9.4,24.8,11,productivity_focused,45+
54,29,Male,iPhone 13,iOS,81.5,49.6,74.1,11.5,56.0,272.7,5.65,1097,2215,85,21,0.264,4.3,58.6,4,gamer,26-35
55,34,Female,Samsung Galaxy S23,Android,42.2,4.6,9.9,147.1,0.0,203.8,4.67,920,752,54,15,0.084,8.2,12.3,16,productivity_focused,26-35
56,56,Female,Samsung Galaxy S23,Android,167.5,55.1,0.0,9.1,80.1,311.7,6.61,1141,3561,51,20,0.258,10.1,34.2,9,content_consumer,45+
57,28,Female,iPhone 13,iOS,28.6,1.8,14.3,190.4,29.1,264.1,5.82,894,1021,45,16,0.062,10.6,32.4,8,productivity_focused,26-35
58,47,Male,iPhone SE,iOS,72.4,12.5,28.0,4.4,141.1,258.4,5.53,1044,3241,68,19,0.214,8.6,22.8,11,content_consumer,45+
59,14,Male,Samsung Galaxy S22,Android,94.7,146.0,54.5,114.3,124.0,533.5,10.27,1754,3686,59,22,0.18,8.8,20.6,25,mixed_user,<18
60,16,Female,iPhone 13,iOS,46.7,156.6,44.9,25.1,17.9,291.2,5.48,1222,1584,45,18,0.29,9.2,18.6,15,social_butterfly,<18
61,19,Female,iPhone 14,iOS,144.1,171.3,6.6,67.6,39.5,429.0,7.84,1537,3071,62,10,0.265,15.0,15.2,28,mixed_user,18-25
62,62,Male,iPhone SE,iOS,21.0,218.2,10.5,0.0,18.0,267.8,5.24,968,1388,48,20,0.278,10.1,9.2,29,social_butterfly,45+
63,50,Male,Xiaomi Redmi Note 12,Android,30.9,202.8,12.1,34.5,39.6,319.9,6.31,1162,1794,73,20,0.281,10.1,12.8,24,social_butterfly,45+
64,40,Female,OnePlus 11,Android,111.6,89.2,85.0,82.6,80.7,449.1,8.67,1570,3098,70,22,0.24,10.3,32.3,13,mixed_user,36-45
65,48,Female,Samsung Galaxy S22,Android,91.9,60.1,30.1,0.0,78.7,260.9,4.86,981,2700,49,20,0.256,7.7,15.4,16,content_consumer,45+
66,34,Female,Xiaomi Redmi Note 12,Android,12.4,26.1,11.9,233.7,9.6,293.7,5.46,1189,709,56,10,0.097,9.7,23.4,12,productivity_focused,26-35
67,64,Female,iPhone 13,iOS,19.2,0.0,12.1,234.0,0.0,265.3,5.92,1111,465,52,9,0.06,10.9,33.2,7,productivity_focused,45+
68,23,Male,Google Pixel 8,Android,45.3,302.3,30.6,66.9,13.2,458.3,8.54,1569,1823,54,12,0.188,11.1,15.7,29,social_butterfly,18-25
69,56,Male,iPhone SE,iOS,49.2,36.0,195.9,19.5,69.3,369.9,6.8,1263,2189,95,20,0.432,4.4,66.4,5,gamer,45+
70,21,Male,OnePlus 11,Android,101.7,211.8,32.2,0.0,54.1,399.9,7.96,1403,2841,57,18,0.297,11.8,15.8,25,social_butterfly,18-25
71,37,Female,Samsung Galaxy S23,Android,10.7,34.0,10.0,122.1,47.6,224.3,4.8,865,1079,38,10,0.083,5.6,21.9,10,productivity_focused,36-45
72,51,Male,Google Pixel 8,Android,162.8,61.3,28.7,21.5,79.0,353.5,7.34,1099,3523,48,20,0.241,10.0,36.1,9,content_consumer,45+
73,32,Male,Realme 11 Pro,Android,32.3,54.0,8.0,245.9,31.0,371.2,7.42,1312,1253,42,11,0.122,8.3,32.3,11,productivity_focused,26-35
74,44,Male,Samsung Galaxy S23,Android,146.4,135.5,75.3,66.3,58.6,482.1,8.73,1543,3406,46,10,0.144,13.1,32.3,14,mixed_user,36-45
75,16,Female,iPhone 14,iOS,59.4,362.7,51.1,88.9,29.8,591.9,10.76,1762,2533,78,19,0.275,11.4,8.2,72,social_butterfly,<18
76,52,Female,OnePlus 11,Android,43.6,41.1,132.9,31.6,3.8,252.9,5.35,980,1072,87,21,0.444,5.5,56.7,4,gamer,45+
77,37,Female,Xiaomi 13,Android,68.0,22.2,178.8,0.0,101.5,370.5,7.07,1225,2880,63,22,0.341,4.7,38.7,9,gamer,36-45
78,20,Female,Google Pixel 8,Android,108.5,205.5,42.7,46.9,70.6,474.1,8.88,1466,3143,59,12,0.241,8.7,19.0,24,social_butterfly,18-25
79,47,Male,Samsung Galaxy S22,Android,118.0,51.4,12.8,20.1,95.6,297.9,6.33,986,3094,77,22,0.151,7.2,31.1,9,content_consumer,45+
80,20,Female,iPhone 13,iOS,73.2,278.0,19.8,51.5,35.9,458.4,8.32,1351,2402,49,13,0.232,10.8,18.0,25,social_butterfly,18-25
81,39,Female,Realme 11 Pro,Android,52.1,58.7,16.4,122.8,49.5,299.6,5.6,1071,1818,30,14,0.066,10.5,27.0,11,productivity_focused,36-45
82,16,Female,Realme 11 Pro,Android,9.2,68.9,11.2,161.8,36.3,287.4,6.16,1015,1069,50,9,0.062,7.8,30.9,9,productivity_focused,<18
83,37,Female,iPhone SE,iOS,0.0,288.4,25.6,25.4,51.3,390.7,7.77,1320,1752,41,12,0.176,7.4,10.7,36,social_butterfly,36-45
84,49,Male,Samsung Galaxy S22,Android,13.1,55.4,11.9,62.5,48.1,191.1,4.4,871,1285,55,18,0.104,6.7,18.9,10,social_butterfly,45+
85,33,Male,Samsung Galaxy A54,Android,152.0,47.2,39.2,55.2,110.9,404.5,7.77,1293,3846,41,15,0.162,5.9,15.4,26,content_consumer,26-35
86,22,Female,iPhone 15,iOS,44.4,30.4,1.4,151.7,32.9,260.7,5.76,864,1341,41,14,0.098,11.7,28.0,9,productivity_focused,18-25
87,34,Female,Xiaomi 13,Android,90.3,115.6,43.8,27.2,60.3,337.1,6.68,1169,2585,75,18,0.256,8.7,28.7,11,mixed_user,26-35
88,62,Male,Realme 11 Pro,Android,47.6,36.8,150.3,39.7,0.0,274.4,5.25,1075,1060,63,20,0.378,2.6,46.5,5,gamer,45+
89,30,Male,Samsung Galaxy S23,Android,110.3,26.2,279.8,31.3,38.6,486.2,8.69,1522,2617,55,20,0.369,4.1,34.1,14,gamer,26-35
90,39,Female,iPhone 14,iOS,62.9,97.1,5.5,26.7,77.0,269.1,5.44,1040,2384,77,13,0.234,11.3,11.8,22,mixed_user,36-45
91,48,Female,iPhone SE,iOS,69.5,40.2,152.0,3.1,87.5,352.2,6.37,1151,2682,79,23,0.383,2.6,89.5,3,gamer,45+
92,56,Male,iPhone 14,iOS,41.6,36.6,48.7,93.5,34.4,254.8,5.61,872,1353,53,12,0.265,10.4,21.4,11,mixed_user,45+
93,21,Male,Samsung Galaxy A54,Android,40.6,312.9,41.3,19.4,82.2,496.3,9.16,1643,2881,74,19,0.286,10.0,7.1,69,social_butterfly,18-25
94,26,Male,Google Pixel 8,Android,92.3,140.6,19.7,9.3,72.8,334.7,7.05,1313,2789,72,13,0.264,9.2,16.5,20,social_butterfly,26-35
95,15,Female,Motorola Edge 40,Android,273.8,116.9,37.4,4.2,26.7,459.1,8.23,1431,4292,57,19,0.293,5.0,10.5,43,content_consumer,<18
96,35,Male,Samsung Galaxy S23,Android,61.1,22.8,235.6,9.4,37.7,366.5,6.73,1306,1926,53,21,0.303,2.9,43.2,8,gamer,26-35
97,48,Female,OnePlus 11,Android,82.2,37.6,19.2,34.8,69.7,243.5,4.97,848,2313,41,21,0.135,10.5,27.5,8,content_consumer,45+
98,51,Female,OnePlus 11,Android,4.6,37.6,3.5,120.3,32.7,198.7,3.88,776,798,49,14,0.087,5.9,35.9,5,productivity_focused,45+
99,30,Male,Samsung Galaxy A54,Android,10.7,119.3,47.1,25.8,23.3,226.2,4.96,903,1088,79,19,0.115,9.6,18.4,12,social_butterfly,26-35
100,27,Female,iPhone 13,iOS,50.8,55.2,8.7,149.8,23.9,288.4,5.34,931,1351,53,11,0.116,7.7,23.9,12,productivity_focused,26-35
101,64,Female,Motorola Edge 40,Android,23.4,65.6,71.0,90.2,84.9,335.1,6.71,1270,2084,43,9,0.233,11.7,11.3,29,mixed_user,45+
102,33,Male,Samsung Galaxy S23,Android,43.5,39.6,57.6,94.1,54.2,289.1,5.84,1102,1680,79,23,0.231,10.6,26.5,10,mixed_user,26-35
103,62,Female,OnePlus 11,Android,23.0,128.4,19.7,26.7,6.5,204.3,4.72,777,1008,52,12,0.152,10.2,13.4,15,social_butterfly,45+
104,44,Male,Samsung Galaxy S22,Android,234.8,69.8,30.6,18.6,86.6,440.3,8.56,1403,4507,63,18,0.293,10.3,32.3,13,content_consumer,36-45
105,31,Male,iPhone SE,iOS,64.9,18.6,227.5,25.2,56.2,392.3,7.85,1301,2314,84,23,0.395,2.8,63.3,6,gamer,26-35
106,51,Female,iPhone 14,iOS,4.1,10.7,17.4,261.9,64.4,358.5,7.32,1383,1318,54,10,0.054,7.3,14.5,24,productivity_focused,45+
